"state","zcta5","cbsa10","stab","cbsaname10","zipname","pop10","afact"
"01","35087","18980","AL","Cullman, AL Micropolitan Statistical Area","Joppa, AL",1106,0.523
"01","35087","19460","AL","Decatur, AL Metropolitan Statistical Area","Joppa, AL",890,0.421
"01","35089","10760","AL","Alexander City, AL Micropolitan Statistical Area","Kellyton, AL",2238,1
"01","35091","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Kimberly, AL",2719,1
"01","35094","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Leeds, AL",14212,1
"01","35096","11500","AL","Anniston-Oxford, AL Metropolitan Statistical Area","Lincoln, AL",362,0.046
"01","35096","45180","AL","Talladega-Sylacauga, AL Micropolitan Statistical Area","Lincoln, AL",7453,0.954
"01","35097","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Locust Fork, AL",1748,1
"01","35098","18980","AL","Cullman, AL Micropolitan Statistical Area","Logan, AL",1192,0.867
"01","35098","99999","AL","99999","Logan, AL",183,0.133
"01","35111","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Mc Calla, AL",8000,0.496
"01","35111","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Mc Calla, AL",8140,0.504
"01","35112","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Margaret, AL",801,1
"01","35114","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Alabaster, AL",7172,1
"01","35115","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Montevallo, AL",14118,1
"01","35116","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Morris, AL",4240,1
"01","35117","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Mount Olive, AL",5367,1
"01","35118","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Sylvan Springs, AL",3138,1
"01","35119","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","New Castle, AL (PO Boxes)",116,1
"01","35120","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Odenville, AL",13842,1
"01","35121","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Oneonta, AL",15570,1
"01","35124","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Pelham, AL",23020,1
"01","35125","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Pell City, AL",10456,1
"01","35126","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Pinson, AL",21725,1
"01","35127","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Pleasant Grove, AL",10099,1
"01","35128","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Pell City, AL",10197,1
"01","35130","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Quinton, AL",3233,1
"01","35131","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Ragland, AL",4159,1
"01","35133","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Remlap, AL",3907,1
"01","35135","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Riverside, AL",1812,1
"01","35136","10760","AL","Alexander City, AL Micropolitan Statistical Area","Rockford, AL",1796,1
"01","35139","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Sayre, AL (PO Boxes)",150,1
"01","35143","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Shelby, AL",3281,1
"01","35146","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Springville, AL",10948,1
"01","35147","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Chelsea, AL",5468,1
"01","35148","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Sumiton, AL",2702,1
"01","35149","45180","AL","Talladega-Sylacauga, AL Micropolitan Statistical Area","Sycamore, AL (PO Boxes)",630,1
"01","35150","10760","AL","Alexander City, AL Micropolitan Statistical Area","Sylacauga, AL",130,0.007
"01","35150","45180","AL","Talladega-Sylacauga, AL Micropolitan Statistical Area","Sylacauga, AL",18317,0.992
"01","35150","99999","AL","99999","Sylacauga, AL",25,0.001
"01","35151","10760","AL","Alexander City, AL Micropolitan Statistical Area","Sylacauga, AL",1886,0.247
"01","35151","45180","AL","Talladega-Sylacauga, AL Micropolitan Statistical Area","Sylacauga, AL",5746,0.753
"01","35160","45180","AL","Talladega-Sylacauga, AL Micropolitan Statistical Area","Talladega, AL",26205,0.977
"01","35160","99999","AL","99999","Talladega, AL",617,0.023
"01","35171","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Thorsby, AL",3281,1
"01","35172","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Trafford, AL",2986,1
"01","35173","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Trussville, AL",25176,1
"01","35175","10700","AL","Albertville, AL Micropolitan Statistical Area","Union Grove, AL",3882,0.77
"01","35175","19460","AL","Decatur, AL Metropolitan Statistical Area","Union Grove, AL",1159,0.23
"01","35176","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Vandiver, AL",921,1
"01","35178","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Vincent, AL",3378,1
"01","35179","18980","AL","Cullman, AL Micropolitan Statistical Area","Vinemont, AL",8805,0.983
"01","35179","19460","AL","Decatur, AL Metropolitan Statistical Area","Vinemont, AL",132,0.015
"01","35179","99999","AL","99999","Vinemont, AL",21,0.002
